PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,AIRLINE_ID,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,0,0,1413,09Q,21161,21161,1130,D,09Q,"Swift Air, LLC",1,1,14576,1457604,34576,ROC,"Rochester, NY",NY,36,New York,22,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,3,L
0,627144,0,1069,9S,20190,20190,6841,D,9S,Southern Air Inc.,2,2,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,3,P
0,431309,0,1069,9S,20190,20190,6841,D,9S,Southern Air Inc.,2,2,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2017,2,6,3,P
1,0,0,1083,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,3,F
1,0,0,90,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,11233,1123302,31233,CYS,"Cheyenne, WY",WY,56,Wyoming,88,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,1,F
1,0,0,764,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,2017,2,6,2,L
1,0,0,937,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,14831,1483104,32457,SJC,"San Jose, CA",CA,6,California,91,2017,2,6,2,L
1,0,0,764,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,L
2,0,0,604,04Q,21080,21080,1126,D,04Q,Tradewind Aviation,1,6,11423,1142304,31423,DSM,"Des Moines, IA",IA,19,Iowa,61,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,L
2,0,0,292,0WQ,21352,21352,1150,D,0WQ,Avjet Corporation,1,1,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,2017,2,6,1,L
